,ENTIDAD_FEDERATIVA,NO_FALLECIO,SI_FALLECIO,All
0,AGUASCALIENTES,80412,790,81202
1,BAJA CALIFORNIA,118003,1438,119441
2,BAJA CALIFORNIA SUR,114490,451,114941
3,CAMPECHE,35180,231,35411
4,CHIAPAS,95568,205,95773
5,CHIHUAHUA,109642,1472,111114
6,CIUDAD DE MÉXICO,1701076,3668,1704744
7,COAHUILA DE ZARAGOZA,142382,1328,143710
8,COLIMA,51589,287,51876
9,DURANGO,53432,550,53982
10,GUANAJUATO,259383,1610,260993
11,GUERRERO,72081,660,72741
12,HIDALGO,91109,855,91964
13,JALISCO,171987,2768,174755
14,MICHOACÁN DE OCAMPO,64008,800,64808
15,MORELOS,94640,436,95076
16,MÉXICO,513030,3923,516953
17,NAYARIT,58274,444,58718
18,NUEVO LEÓN,284712,3063,287775
19,OAXACA,101368,738,102106
20,PUEBLA,152661,1275,153936
21,QUERÉTARO,120640,837,121477
22,QUINTANA ROO,63374,486,63860
23,SAN LUIS POTOSÍ,278723,924,279647
24,SINALOA,217558,1302,218860
25,SONORA,113026,1132,114158
26,TABASCO,132926,719,133645
27,TAMAULIPAS,123867,1348,125215
28,TLAXCALA,45650,214,45864
29,VERACRUZ DE IGNACIO DE LA LLAVE,135655,1581,137236
30,YUCATÁN,96179,788,96967
31,ZACATECAS,64504,574,65078
