,ENTIDAD_FEDERATIVA,CONTEO DE CASOS
0,AGUASCALIENTES,81202
1,BAJA CALIFORNIA,119441
2,BAJA CALIFORNIA SUR,114941
3,CAMPECHE,35411
4,CHIAPAS,95773
5,CHIHUAHUA,111114
6,CIUDAD DE MÉXICO,1704744
7,COAHUILA DE ZARAGOZA,143710
8,COLIMA,51876
9,DURANGO,53982
10,GUANAJUATO,260993
11,GUERRERO,72741
12,HIDALGO,91964
13,JALISCO,174755
14,MICHOACÁN DE OCAMPO,64808
15,MORELOS,95076
16,MÉXICO,516953
17,NAYARIT,58718
18,NUEVO LEÓN,287775
19,OAXACA,102106
20,PUEBLA,153936
21,QUERÉTARO,121477
22,QUINTANA ROO,63860
23,SAN LUIS POTOSÍ,279647
24,SINALOA,218860
25,SONORA,114158
26,TABASCO,133645
27,TAMAULIPAS,125215
28,TLAXCALA,45864
29,VERACRUZ DE IGNACIO DE LA LLAVE,137236
30,YUCATÁN,96967
31,ZACATECAS,65078
